id;main_word;s1;s2;s3;s4;s5
1;KARA;Nagroda;Nauczka;Zbrodnia;Zły;Dostac
2;MINISTER;Teka;Do Spraw;Gospodarki;Rzad;Premier
3;DWUTAKT;Koszykówka;Kosz;Boisko;Piłka;Krok
4;PIWNICA;Dom;Pod Ziemia;Ciemna;Pod Baranami;Wino
5;EMERYTURA;Zus;Dziadek;Babcia;Renta;Praca
6;SKNERA;Dusigrosz;żałowac;Chytrus;Pieniadze;Szkot
7;EKONOMIA;Pieniadz;Zarzadzanie;Makro;Mikro;Gospodarka
8;MAKULATURA;Papier;Skup;Przetwarzac;Gazety;Recykling
9;SIESTA;Przerwa;Hiszpania;Drzemka;Meksyk;Odpoczynek
10;SAMORZAD;Gmina;Lokalny;Wybory;Wójt;Rada
11;CHINCZYK;Skosnooki;Irytacja;Japonia;Azja;Gra
12;DYSKUSJA;Prowadzic;Temat;Panel;Rozmowa;Zdanie
13;GALERIANKA;Nastolatka;Pieniadze;Centrum Handlowe;Seks;Film
14;RANDKA;Umówic Sie;Kino;Spotkanie;Zakochanie;W Ciemno
15;HYCEL;Własciciel;Łapac;Schronisko;Pies;Kot
16;ROSÓŁ;Zupa;Kura;Makaron;Wywar;Bulion
17;CZERWONE GITARY;Zespół;Przebój;Seweryn Krajewski;Muzyka;Instrument
18;PRYWATNY;Należec;Firma;Panstwo;Publiczny;Własciciel
19;KUMPEL;Kolega;Chłopak;Znajomy;Przyjaciel;Bliski
20;GWIZDAC;Usta;Melodia;Muzyka;Dżwiek;Policjant
21;PRZYSŁUGA;Pomoc;Przyjaciel;Wyswiadczyc;Niedzwiedz;Uczynek
22;KREW;Płynac;Rana;żyła;Czerwona;Skaleczenie
23;CIESNINA;Beringa;Bosfor;Pływac;Lad;Morze
24;KOSMOS;Astronauta;Statek;Wszechswiat;Orbita;Sonda
25;ZNAJOMY;Nasza Klasa;Przyjaciel;Kumpel;Kolega;Portal Społecznosciowy
26;PORAŻKA;Pokonac;Przegrana;Zwyciestwo;Odniesc;Kleska
27;SŁOMKA;Saczyc;Rurka;Drink;Pic;Napój
28;KANAR;Bilet;Konduktor;Komunikacja Miejska;Kontroler;Mandat
29;ZEGAR SŁONECZNY;Czas;Pora;Wskazywac;Cien;Godzina
30;GRZANIEC;Piwo;Ciepły;Gozdzik;Wino;Przyprawy
31;ZNIŻKA;Cena;Promocja;Rabat;Dostac;Zakup
32;RZECZYWISTOSC;Prawda;Realny;Szara;Sen;Swiat
33;KAMPANIA WYBORCZA;Głosowanie;Rzad;Sejm;Prezydent;Obietnica
34;ŻETON;Moneta;Rzucac;Automat;Gra;Koło
35;SYLWESTER;Grudzien;Nowy Rok;Stallone;Fajerwerki;Szampan
36;ZWROTNICA;Szyna;Kierunek;Zmiana;Pociag;Tramwaj
37;CZKAWKA;Powietrze;Dzwiek;Pijacka;Odbic;Pozbyc Sie
38;BINGO;Los;Komplet;Numer;Gra;Liczby
39;STRZAŁKA;Łuk;Wektor;Kursor;Myszka;Zielony
40;SKOROSZYT;Segregator;Zeszyt;Notatki;Koszulka;Okładka
